Name	ST
st_serotype_mixed_range_rare_abundances_01_15000bp	ND
st_serotype_mixed_range_rare_abundances_02_15000bp	ND
st_serotype_mixed_range_rare_abundances_03_15000bp	ND
st_serotype_mixed_range_rare_abundances_04_15000bp	ND
st_serotype_mixed_range_rare_abundances_05_15000bp	ND
st_serotype_mixed_range_rare_abundances_06_15000bp	ND
st_serotype_mixed_range_rare_abundances_07_15000bp	ND
st_serotype_mixed_range_rare_abundances_08_15000bp	ND
st_serotype_mixed_range_rare_abundances_09_15000bp	ND
st_serotype_mixed_range_rare_abundances_10_15000bp	ND
